"""id"",""danceability"",""energy"",""key"",""loudness"",""mode"",""speechiness"",""acousticness"",""instrumentalness"",""liveness"",""valence"",""tempo"",""duration_ms"",""time_signature"",""Y۱l"",""Enerjisi"""
"115,""7l9x4bASPsIodOguseofyj"",0.797,0.512,7,-5.239,0,0.0522,0.617,0.0167,0.254,0.482,119.999,180840,4,2016,""Low Enerjic"""
"116,""1yOgwmQx1g6TiHXVqZKadj"",0.538,0.795,3,-4.848,0,0.0443,0.00417,1.57e-06,0.125,0.192,123.987,183819,4,2016,""Energic"""
"117,""0etFNuOi2EMWBCE9EHJg11"",0.58,0.759,5,-3.125,0,0.0382,0.0526,0.000816,0.138,0.335,95.995,182400,4,2016,""Low Enerjic"""
"118,""1rjlAtGiXwrJE8Tpj4lZ40"",0.17,0.588,7,-5.812,0,0.0363,0.0047,0.000302,0.306,0.169,205.008,180000,3,2016,""Low Enerjic"""
"119,""0VPCXDBbSuz4tCxsQlInu1"",0.471,0.778,9,-5.99,1,0.039,0.00457,0,0.174,0.448,134.106,185537,4,2016,""Energic"""
"120,""11cf086T0gxzVy9KHh77Iq"",0.623,0.857,5,-3.091,0,0.037,0.0592,0,0.192,0.548,124.947,177260,4,2016,""Energic"""
"121,""60hZOS486h0b6nvykyvR7a"",0.286,0.777,0,-3.661,1,0.0424,0.0197,0,0.165,0.339,149.965,188133,4,2016,""Energic"""
"122,""3IYQ2ZLmZTG5sNiRzbaBp6"",0.531,0.87,4,-4.644,1,0.053,0.0012,0,0.17,0.344,128.022,170797,4,2016,""High Energic"""
"123,""2VdfyGuvpkm8M20swSPT2P"",0.43,0.414,7,-6.903,0,0.0273,0.619,0,0.115,0.361,139.671,192702,4,2016,""Low Enerjic"""
"124,""05GIAbzoqONdnBBZUxCsDC"",0.384,0.381,7,-10.199,0,0.0284,0.452,0,0.193,0.452,141.2,181125,4,2016,""Low Enerjic"""
"125,""6oDkCmfVcSd9NXAKk1b4Ll"",0.735,0.612,5,-6.774,1,0.0517,0.289,4.12e-05,0.103,0.395,105.056,184060,4,2016,""Low Enerjic"""
